gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
4.237,-16.611,7.031,0.649,-0.173,-0.819,38.08,367,1540,1427
5.519,-21.824,3.542,0.647,-0.182,-0.992,37.85,396,1508,1457
7.305,-15.29,1.321,0.562,-0.159,-0.873,37.85,402,1493,1485
50.954,-66.412,1.931,0.176,-0.126,-0.88,37.99,490,1382,1585
69.626,2.267,-1.847,0.375,-0.069,-0.687,37.85,600,1331,1648
12.885,25.885,2.557,0.622,-0.413,-0.978,37.75,720,1312,1658
3.969,6.664,18.328,0.492,-0.39,-0.781,37.85,780,1343,1626
2.45,-10.901,18.115,0.481,-0.403,-0.756,37.8,832,1333,1628
10.443,1.893,18.282,0.506,-0.469,-0.817,37.85,895,1312,1646
-9.489,-29.504,22.458,0.37,-0.39,-0.814,37.85,931,1243,1691
-5.649,-16.168,15.878,0.299,-0.4,-0.8,37.61,915,1181,1723
0.221,-14.321,22.992,0.309,-0.416,-0.905,38.08,936,1125,1756
8.84,-2.412,22.031,0.286,-0.506,-0.922,37.75,1001,1111,1753
-28.74,1.565,12.756,0.271,-0.45,-0.965,37.85,993,1080,1786
-18.481,-14.504,8.069,0.192,-0.399,-0.951,37.99,955,1062,1821
-12.985,-11.573,20.038,0.2,-0.337,-0.943,37.75,873,975,1853
-4.618,-6.267,12.45,0.133,-0.389,-0.961,37.99,847,930,1878
-3.779,-3.473,7.779,0.169,-0.353,-1.005,37.8,837,895,1913
0.023,2.802,8.588,0.117,-0.328,-1.007,38.13,855,878,1942
-0.435,0.916,9.84,0.083,-0.314,-0.939,37.94,861,881,1952
-0.718,-2.74,2.137,0.057,-0.333,-0.987,37.8,861,856,1982
-1.214,1.916,-0.641,0.111,-0.303,-0.98,37.85,832,866,1967
0.962,1.656,0.794,0.093,-0.297,-0.978,37.85,828,871,1977
1.084,-4.107,-0.618,0.077,-0.302,-0.973,37.94,813,842,1970
1.718,-12.786,-1.496,0.079,-0.303,-0.995,38.08,818,813,2000
0.244,-5.664,-0.137,0.041,-0.278,-0.973,37.99,806,765,1995
5.656,-3.008,0.809,0.099,-0.296,-0.992,37.8,798,762,1997
2.107,-15.916,4.786,0.027,-0.299,-0.977,37.94,798,716,2012
6.443,-23.718,5.573,-0.026,-0.294,-0.962,37.94,823,621,2022
-1.061,-41.802,7.863,-0.11,-0.294,-0.928,37.85,835,522,2027
-0.45,-34.168,4.267,-0.107,-0.322,-0.981,37.8,850,413,2020
9.878,-14.954,4.885,-0.138,-0.347,-1.088,38.13,866,336,2005
9.076,1.053,-1.298,-0.154,-0.322,-0.922,38.13,873,346,1970
7.962,-13.458,3.023,-0.164,-0.33,-0.917,38.08,891,305,1935
4.863,-17.702,5.374,-0.262,-0.357,-0.914,38.13,881,243,1923
12.969,0.275,1.42,-0.308,-0.339,-0.926,37.85,860,152,1906
11.817,-22.282,7.992,-0.342,-0.33,-0.851,37.85,900,75,1898
5.458,-3.427,3.298,-0.417,-0.359,-0.853,37.85,892,-38,1856
11.321,-35.443,4.695,-0.479,-0.361,-0.818,37.94,868,-137,1831
1.672,-27.435,-1.069,-0.537,-0.346,-0.8,38.08,868,-238,1781
0.496,-6.74,-0.916,-0.536,-0.348,-0.738,37.94,861,-295,1771
1.664,-13.458,1.26,-0.52,-0.333,-0.771,37.94,863,-343,1741
1.183,-5.809,-1.244,-0.556,-0.339,-0.72,37.94,842,-377,1733
-3.229,-7.237,2.069,-0.604,-0.323,-0.699,37.94,828,-423,1708
-0.42,-12.641,0.527,-0.606,-0.341,-0.7,37.75,801,-455,1711
-13.901,-13.389,4.664,-0.606,-0.309,-0.671,37.99,756,-517,1681
-11.687,-24.13,10.71,-0.678,-0.259,-0.626,37.8,652,-665,1611
-2.557,-49.656,7.649,-0.781,-0.256,-0.583,38.13,566,-895,1457
6.115,-42.076,-6.038,-0.858,-0.212,-0.393,38.13,571,-1113,1243
11.031,-41.427,-10.435,-0.953,-0.262,-0.223,37.99,623,-1248,1053
16.191,-35.389,-29.237,-1.001,-0.34,-0.113,37.85,688,-1360,845
27.092,-34.962,-27.015,-0.824,-0.396,0.059,37.99,996,-1392,551
29.969,-39.992,-21.26,-0.828,-0.464,0.144,37.85,1090,-1418,366
41.008,-18.573,-48.267,-0.79,-0.513,0.276,37.99,1205,-1395,222
31.427,-30.634,-24.931,-0.729,-0.538,0.387,37.94,1345,-1351,102
34.412,-22.282,-22.87,-0.692,-0.541,0.415,37.94,1436,-1287,5
42.87,-26.092,-11.244,-0.626,-0.5,0.54,37.99,1483,-1261,-142
25.824,-22.336,-19.824,-0.621,-0.553,0.574,38.18,1532,-1220,-252
35.695,-10.603,-31.099,-0.506,-0.511,0.583,37.99,1601,-1140,-348
24.153,-18.733,-28.229,-0.473,-0.507,0.656,38.08,1661,-1077,-448
28.702,-19.603,-27.618,-0.429,-0.542,0.717,38.08,1702,-985,-551
9.198,-9.153,-13.748,-0.456,-0.54,0.752,37.85,1752,-891,-621
12.588,-6.748,-24.565,-0.342,-0.501,0.769,37.99,1806,-830,-662
24.282,-6.176,-28.435,-0.306,-0.459,0.823,37.85,1817,-772,-730
16,-3.374,-15.427,-0.302,-0.419,0.853,37.94,1835,-708,-775
29.031,-17.076,-24.008,-0.267,-0.439,0.876,38.13,1837,-651,-835
37.137,-13.511,-21.031,-0.184,-0.337,0.948,37.94,1815,-548,-955
-9.611,-1.71,-24.344,-0.163,-0.4,0.898,38.18,1856,-488,-971
3.29,-0.557,-15.565,-0.125,-0.405,0.893,37.99,1895,-426,-971
29.962,-8.351,-13.779,-0.067,-0.35,0.924,38.13,1895,-348,-1028
6.756,-1.008,-16.908,-0.082,-0.382,0.957,38.08,1887,-302,-1041
9.756,2.061,-18.489,-0.046,-0.32,0.917,38.13,1892,-241,-1071
28.038,-1.443,-14.626,-0.051,-0.331,0.978,38.08,1863,-202,-1116
60.015,-10.046,-28.191,-0.017,-0.207,0.966,37.85,1762,-137,-1223
0.962,-3.084,-13.687,0.012,-0.143,1.06,37.94,1678,-75,-1295
12.824,-11.099,-13.557,-0.007,-0.162,0.996,37.94,1655,-47,-1307
-6.053,-3.679,-6.58,0.055,-0.104,0.978,37.99,1637,-13,-1307
14.183,-9.588,-37.58,0.105,-0.122,0.991,37.66,1666,52,-1327
4.489,4.489,-33.176,0.084,-0.105,1.021,38.13,1660,137,-1335
-16.84,-8.573,-50.802,0.104,-0.149,0.977,37.85,1715,232,-1320
-11.153,-1.489,-57.679,0.097,-0.132,0.996,37.94,1786,372,-1271
-7.214,-8.771,-45.992,0.167,-0.139,0.985,37.99,1837,520,-1243
6.137,-5.183,-29.153,0.212,-0.175,0.986,37.94,1832,610,-1218
9.763,8.344,-31.725,0.2,-0.177,0.973,37.85,1801,667,-1241
11.809,-8.382,-46.679,0.234,-0.149,0.993,38.08,1733,776,-1238
5.55,15,-32.321,0.249,-0.075,0.999,38.13,1660,830,-1258
10.756,6.344,-19.084,0.191,-0.023,0.987,37.99,1630,856,-1273
-6.061,10.794,-27.191,0.205,-0.09,0.957,38.13,1630,881,-1273
5.206,18.603,-24.031,0.141,-0.031,0.986,37.85,1603,866,-1290
-3.137,8.573,-17.008,0.128,-0.078,1.016,38.08,1582,847,-1297
6.443,9.809,-15.924,0.092,-0.015,1.061,37.8,1558,827,-1315
-2.916,-0.87,-16.496,0.127,-0.022,0.971,38.13,1538,868,-1317
-1.786,13.069,-6.565,0.103,0.014,0.982,37.85,1537,883,-1312
-0.527,3.992,-12.107,0.097,-0.093,0.994,38.08,1538,883,-1315
-0.061,4.405,-11.718,0.118,-0.034,1.026,37.94,1525,886,-1312
1.756,8.84,0.824,0.091,-0.081,1.016,38.27,1522,895,-1297
12.229,7.252,3.298,0.101,-0.081,1.007,37.99,1488,861,-1325
5.771,-6.901,-4.534,0.076,-0.078,0.999,37.85,1507,853,-1325
11.519,-18.496,-19.679,0.075,-0.099,1.02,37.94,1498,917,-1322
11.84,17.191,-24.198,0.159,-0.102,0.947,38.27,1486,970,-1271
22.885,16.748,-22.71,0.147,-0.034,0.978,38.13,1392,992,-1315
12.153,20.855,-20.351,0.102,0.014,0.98,37.94,1327,963,-1352
14.847,5.29,-17.031,0.066,0.015,0.993,38.18,1258,943,-1387
16.863,-32.519,-24.046,-0.041,0.076,1.416,37.99,1183,931,-1380
7.26,22.954,-10.656,0.212,0.09,0.759,38.08,1116,1043,-1335
11.595,15.931,-13.214,0.067,0.096,0.995,38.08,1053,953,-1392
12.237,10.092,-9.313,0.041,0.114,1.02,38.08,1003,920,-1415
12.779,9.427,-17.412,0.004,0.135,1.034,38.13,941,897,-1435
-5.443,5.069,-8.198,-0.012,0.195,1.03,38.13,917,863,-1445
-2.748,-4.427,-22.885,-0.044,0.137,1.024,37.85,931,878,-1442
-5.366,-3.008,-10.053,-0.02,0.146,0.998,38.13,928,897,-1430
4.595,-8.252,-21.397,-0.024,0.124,1.047,37.99,897,920,-1422
16.389,-22.183,-34.466,0.007,0.131,1.022,38.18,835,987,-1387
3.527,-7.496,-27.695,0.086,0.194,0.978,38.18,746,1065,-1360
0.939,-10.718,-37.527,0.067,0.188,0.987,38.27,703,1091,-1335
-1.153,-9.626,-25.214,0.078,0.133,0.998,38.18,657,1113,-1317
-3.809,-13.084,-35.832,0.066,0.149,0.993,38.13,602,1142,-1290
-2.771,-10.733,-29.267,0.082,0.157,0.985,37.99,553,1166,-1271
-3.351,-7.458,-38.634,0.139,0.168,1.01,38.18,480,1162,-1261
-8.992,1.649,-33.511,0.157,0.173,0.994,38.13,417,1150,-1233
0.45,3.16,-24.115,0.087,0.135,1.003,37.99,415,1118,-1253
-3.626,-3.328,-32.145,0.121,0.148,1.024,37.94,362,1093,-1256
-21.481,-1.45,-31.55,0.098,0.123,1,37.99,360,1072,-1248
13.458,12.977,-48.26,0.027,0.078,1.03,38.27,305,990,-1292
13.321,1.282,-75.344,0.051,0.051,1.006,38.08,220,931,-1302
7.954,3,-75.947,0.028,0.09,0.974,38.13,136,863,-1287
25.191,15.687,-76.565,0.062,0.143,1.049,38.27,-8,745,-1276
7.489,4.275,-62.191,-0.016,0.175,0.986,38.13,-105,595,-1261
1.58,3.313,-55.427,-0.055,0.165,0.992,38.32,-177,442,-1241
-3.122,-0.046,-60.122,-0.131,0.24,1.046,38.13,-220,311,-1251
22.42,9.458,-63.74,-0.097,0.13,1.005,37.85,-246,183,-1233
7.771,5.344,-66.084,-0.195,0.2,1.023,38.13,-271,-11,-1218
-7.412,-7.237,-46.55,-0.169,0.169,1.013,38.13,-230,-117,-1231
3.748,-7.412,-37.771,-0.19,0.104,1.017,38.32,-217,-195,-1228
-1.412,-9.374,-39.237,-0.106,0.137,0.978,38.18,-172,-233,-1231
1.573,-1.595,-41.313,-0.173,0.044,0.976,37.99,-136,-321,-1208
13.13,17.122,-40.878,-0.205,0.082,0.959,38.13,-112,-432,-1208
10.71,26.794,-37.45,-0.266,0.055,0.991,38.37,-92,-543,-1146
4.603,32.443,-31.649,-0.378,0.12,0.944,38.13,-88,-672,-1091
4.992,21.954,-24.802,-0.328,0.079,0.955,37.85,-28,-765,-1071
-5.748,44.229,-23.053,-0.387,0.068,0.876,38.32,11,-853,-1011
12.405,31.908,-14.817,-0.466,0.02,0.894,38.27,55,-1007,-927
-14.206,35.748,-36.626,-0.488,0.012,0.85,38.08,112,-1052,-885
5.198,5.023,-25.58,-0.549,-0.035,0.853,38.32,167,-1088,-857
-38.527,-95.046,-19.878,-0.357,-0.062,0.872,38.13,292,-995,-1018
-21.267,10.504,-11.519,-0.424,-0.099,0.928,38.18,376,-941,-1071
