gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
1.252,1.267,-0.282,-0.021,-0.013,0.990,38.13,-643.00,-706.00,-882.00
1.496,1.435,0.084,-0.020,-0.009,0.994,38.32,-638.00,-733.00,-897.00
1.557,1.779,-0.466,-0.018,-0.007,0.991,38.27,-643.00,-716.00,-890.00
1.634,1.267,-0.168,-0.021,-0.010,0.992,38.13,-638.00,-708.00,-875.00
1.588,1.489,-0.313,-0.019,-0.009,0.995,37.99,-633.00,-728.00,-905.00
1.481,1.573,0.069,-0.018,-0.011,0.987,38.08,-650.00,-723.00,-880.00
1.740,1.595,-0.221,-0.018,-0.012,0.987,38.18,-636.00,-708.00,-902.00
1.534,1.481,-0.282,-0.022,-0.012,0.989,38.08,-638.00,-728.00,-890.00
1.565,1.519,-0.076,-0.017,-0.011,0.989,37.99,-652.00,-721.00,-885.00
1.809,1.794,0.008,-0.017,-0.012,0.989,37.94,-645.00,-726.00,-900.00
1.687,1.458,-0.489,-0.020,-0.004,0.990,37.94,-631.00,-737.00,-895.00
1.489,1.527,0.038,-0.020,-0.011,0.993,37.94,-655.00,-721.00,-885.00
1.649,1.489,-0.153,-0.020,-0.010,0.988,37.99,-631.00,-721.00,-887.00
1.298,1.534,-0.092,-0.019,-0.006,0.992,37.85,-655.00,-728.00,-897.00
1.710,1.389,-0.176,-0.019,-0.012,0.990,37.66,-643.00,-718.00,-890.00
1.656,1.740,-0.473,-0.014,-0.011,0.988,37.75,-643.00,-733.00,-892.00
1.595,1.366,-0.427,-0.021,-0.011,0.986,37.94,-652.00,-726.00,-890.00
1.473,1.351,-0.069,-0.018,-0.008,0.992,37.80,-641.00,-718.00,-890.00
1.580,1.473,-0.076,-0.016,-0.007,0.987,37.61,-647.00,-721.00,-897.00
1.710,1.366,-0.160,-0.025,-0.011,0.992,37.80,-650.00,-718.00,-892.00
1.634,1.695,-0.145,-0.020,-0.006,0.992,37.85,-638.00,-733.00,-895.00
1.473,1.588,-0.191,-0.018,-0.011,0.991,37.80,-660.00,-723.00,-900.00
1.664,1.481,-0.115,-0.014,-0.013,0.989,37.80,-641.00,-726.00,-890.00
1.611,1.496,-0.252,-0.017,-0.009,0.993,37.75,-633.00,-733.00,-900.00
1.649,1.313,-0.260,-0.018,-0.011,0.992,37.61,-636.00,-716.00,-895.00
1.672,1.412,-0.321,-0.018,-0.010,0.994,37.75,-631.00,-723.00,-890.00
